feature,rss,gcv,nb_subset,timestep
NAN008_wl,0.60,0.60,0.03,19
PAS009_wl,0.17,0.17,0.07,19
VLGE15_press,0.11,0.11,0.08,19
DIV006_wl,0.02,0.02,0.10,19
NAN005_wl,0.02,0.02,0.03,19
CPY013_wl,0.02,0.02,0.03,19
CPY009_wl,0.01,0.01,0.03,19
CPY014_wl,0.01,0.01,0.03,19
GLF001_wl,0.01,0.01,0.03,19
CPY011_wl,0.00,0.00,0.03,19
YOM006_wl,0.00,0.00,0.03,19
CPY010_wl,0.00,0.00,0.03,19
VLGE25_humid,0.00,0.00,0.03,19
YOM003_wl,0.00,0.00,0.03,19
DNP009_press,0.00,0.00,0.03,19
NAN006_wl,0.00,0.00,0.03,19
DNP004_humid,0.00,0.00,0.03,19
BKK007_wl,0.00,0.00,0.03,19
DNP004_press,0.00,0.00,0.03,19
DNP017_temp,0.00,0.00,0.03,19
PIN001_rain1h,0.00,0.00,0.03,19
DNP032_wl,0.00,0.00,0.03,19
PAS002_wl,0.00,0.00,0.03,19
NAN008_wl,0.81,0.81,0.18,20
PAS008_wl,0.06,0.06,0.03,20
CPY015_wl,0.03,0.03,0.03,20
PAS009_wl,0.03,0.03,0.03,20
CPY010_wl,0.01,0.01,0.03,20
NAN005_wl,0.01,0.01,0.03,20
PAS006_wl,0.01,0.01,0.03,20
BKK005_wl,0.01,0.01,0.03,20
DNP028_temp,0.00,0.00,0.03,20
PIN004_wl,0.00,0.00,0.03,20
YOM009_wl,0.00,0.00,0.03,20
VLGE19_press,0.00,0.00,0.03,20
CPY009_wl,0.00,0.00,0.03,20
BKK007_wl,0.00,0.00,0.03,20
TB0005_press,0.00,0.00,0.03,20
YOM003_wl,0.00,0.00,0.03,20
YOM006_wl,0.00,0.00,0.03,20
YOM008_wl,0.00,0.00,0.03,20
BKK020_wl,0.00,0.00,0.03,20
CPY006_wl,0.00,0.00,0.03,20
PAS002_wl,0.00,0.00,0.03,20
PIN001_wl,0.00,0.00,0.03,20
PIN001_rain1h,0.00,0.00,0.03,20
CPY011_wl,0.00,0.00,0.03,20
CPY014_wl,0.00,0.00,0.03,20
CPY011_wl,0.79,0.79,0.03,21
NAN006_wl,0.05,0.05,0.03,21
PAS009_wl,0.04,0.04,0.07,21
CPY008_wl,0.02,0.02,0.03,21
NAN013_wl,0.01,0.01,0.03,21
BKK007_wl,0.01,0.01,0.03,21
DNP006_wl,0.01,0.01,0.03,21
BKK008_wl,0.01,0.01,0.03,21
PAS004_wl,0.01,0.01,0.03,21
DNP023_temp,0.01,0.01,0.03,21
CPY006_wl,0.01,0.01,0.03,21
VLGE15_press,0.01,0.01,0.03,21
DNP032_wl,0.01,0.01,0.03,21
TB0005_press,0.00,0.00,0.03,21
DNP031_temp,0.00,0.00,0.03,21
CPY013_wl,0.00,0.00,0.03,21
DNP030_rain1h,0.00,0.00,0.03,21
BKK005_wl,0.00,0.00,0.03,21
PIN001_rain1h,0.00,0.00,0.03,21
NAN008_wl,0.00,0.00,0.05,21
VLGE25_press,0.00,0.00,0.03,21
DNP020_temp,0.00,0.00,0.03,21
NAN014_wl,0.00,0.00,0.03,21
VLGE04_temp,0.00,0.00,0.03,21
VLGE12_wl,0.00,0.00,0.03,21
CPY006_wl,0.77,0.77,0.03,22
PAS009_wl,0.03,0.03,0.03,22
NAN012_wl,0.03,0.03,0.03,22
PAS008_wl,0.03,0.03,0.08,22
GLF001_wl,0.02,0.02,0.03,22
VLGE15_press,0.01,0.01,0.03,22
DNP001_temp,0.01,0.01,0.03,22
PIN001_rain1h,0.01,0.01,0.05,22
NAN014_wl,0.01,0.01,0.04,22
VLGE13_wl,0.01,0.01,0.03,22
BKK008_wl,0.01,0.01,0.03,22
CPY011_wl,0.01,0.01,0.03,22
PAS007_wl,0.01,0.01,0.03,22
DNP025_temp,0.00,0.00,0.03,22
BKK005_wl,0.00,0.00,0.03,22
BKK002_wl,0.00,0.00,0.03,22
DIV004_wl,0.00,0.00,0.03,22
CPY003_wl,0.00,0.00,0.03,22
DNP028_press,0.00,0.00,0.03,22
TB0005_press,0.00,0.00,0.03,22
PIN003_wl,0.00,0.00,0.03,22
KWN002_wl,0.00,0.00,0.03,22
NAN005_wl,0.00,0.00,0.03,22
YOM002_wl,0.00,0.00,0.03,22
CPY009_wl,0.00,0.00,0.03,22
DNP015_temp,0.00,0.00,0.03,22
PAS005_wl,0.00,0.00,0.03,22
DIV005_wl,0.00,0.00,0.03,22
BKK013_wl,0.00,0.00,0.03,22
CPY006_wl,0.73,0.73,0.03,23
PAS009_wl,0.04,0.04,0.03,23
VLGE12_wl,0.03,0.03,0.03,23
GLF001_wl,0.03,0.03,0.03,23
CPY004_wl,0.03,0.03,0.03,23
PAS008_wl,0.02,0.02,0.11,23
NAN008_wl,0.02,0.02,0.04,23
