feature,rss,gcv,nb_subset,timestep
PAS009_wl,0.10,0.10,0.03,11
DNP032_press,0.05,0.05,0.03,11
VLGE12_wl,0.05,0.05,0.06,11
Dam_SK_WaterVol,0.04,0.04,0.03,11
Dam_KheawNoi_Output_WaterVol,0.03,0.03,0.03,11
CPY017_wl,0.03,0.03,0.03,11
Dam_KiewKorMa_Useable_WaterVol,0.02,0.02,0.06,11
NAN006_wl,0.01,0.01,0.03,11
PIN005_wl,0.01,0.01,0.03,11
BKK004_wl,0.01,0.01,0.03,11
DNP032_wl,0.01,0.01,0.03,11
TB0004_wl,0.01,0.01,0.03,11
VLGE15_press,0.01,0.01,0.03,11
PAS005_wl,0.00,0.00,0.03,11
YOM005_wl,0.00,0.00,0.05,11
DNP033_press,0.00,0.00,0.03,11
YOM007_wl,0.00,0.00,0.03,11
VLGE13_wl,0.00,0.00,0.03,11
THA002_wl,0.00,0.00,0.03,11
BKK008_wl,0.00,0.00,0.03,11
BKK007_wl,0.00,0.00,0.03,11
DNP013_humid,0.00,0.00,0.03,11
YOM009_wl,0.00,0.00,0.03,11
DNP027_press,0.00,0.00,0.03,11
DNP017_press,0.51,0.51,0.02,12
DNP027_press,0.15,0.15,0.05,12
CPY011_rain,0.11,0.12,0.02,12
YOM005_wl,0.03,0.03,0.02,12
PAS003_wl,0.02,0.02,0.04,12
KWN002_wl,0.02,0.02,0.02,12
Dam_SK_WaterVol,0.02,0.02,0.02,12
Dam_BH_WaterVol,0.02,0.01,0.02,12
BKK013_wl,0.01,0.01,0.02,12
CPY017_wl,0.01,0.01,0.05,12
Dam_KiewKorMa_Useable_WaterVol,0.01,0.01,0.05,12
CPY001_wl,0.01,0.01,0.02,12
VLGE12_wl,0.01,0.01,0.02,12
BKK008_wl,0.01,0.01,0.02,12
VLGE13_press,0.01,0.01,0.01,12
DNP018_press,0.01,0.01,0.02,12
DNP026_temp,0.00,0.00,0.02,12
YOM007_wl,0.00,0.00,0.02,12
YOM009_wl,0.00,0.00,0.02,12
VLGE13_wl,0.00,0.00,0.02,12
DNP019_press,0.00,0.00,0.02,12
YOM012_wl,0.00,0.00,0.02,12
NAN005_wl,0.00,0.00,0.02,12
NAN009_wl,0.00,0.00,0.02,12
NAN014_wl,0.00,0.00,0.02,12
DNP003_press,0.00,0.00,0.02,12
PAS002_wl,0.00,0.00,0.02,12
DIV002_rain,0.00,0.00,0.02,12
PAS006_wl,0.00,0.00,0.02,12
DNP028_press,0.00,0.00,0.02,12
VLGE19_press,0.00,0.00,0.02,12
VLGE19_press,0.44,0.44,0.03,13
Dam_SK_WaterVol,0.14,0.14,0.03,13
TB0007_press,0.11,0.11,0.03,13
YOM007_wl,0.08,0.08,0.03,13
Dam_BH_Useable_WaterVol,0.04,0.04,0.03,13
DNP032_wl,0.04,0.04,0.06,13
PAS004_wl,0.03,0.03,0.03,13
PAS006_wl,0.02,0.02,0.03,13
Dam_KheawNoi_Useable_WaterVol,0.02,0.02,0.03,13
PAS008_wl,0.01,0.01,0.03,13
DNP032_rain,0.01,0.01,0.03,13
Dam_SK_Useable_WaterVol,0.01,0.01,0.03,13
YOM006_wl,0.01,0.01,0.03,13
DNP055_temp,0.01,0.01,0.03,13
Dam_BH_Input_WaterVol,0.01,0.01,0.03,13
DNP015_press,0.00,0.00,0.03,13
DNP022_wl,0.00,0.00,0.03,13
Dam_BH_WaterVol,0.00,0.00,0.03,13
DNP003_press,0.00,0.00,0.03,13
CPY011_rain,0.00,0.00,0.06,13
GLF001_wl,0.00,0.00,0.02,13
CHM001_wl,0.00,0.00,0.05,13
TB0007_humid,0.00,0.00,0.03,13
DNP018_humid,0.00,0.00,0.03,13
DNP012_press,0.00,0.00,0.03,13
DNP024_temp,0.00,0.00,0.03,13
DNP003_humid,0.00,0.00,0.03,13
VLGE12_wl,0.00,0.00,0.03,13
DNP031_press,0.00,0.00,0.03,13
VLGE15_rain,0.55,0.55,0.14,14
DNP032_rain,0.16,0.16,0.05,14
Dam_BH_Useable_WaterVol,0.06,0.06,0.07,14
Dam_SK_WaterVol,0.04,0.04,0.03,14
DNP028_press,0.04,0.04,0.03,14
YOM008_wl,0.03,0.03,0.03,14
